時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:34:35.312,-67.92321322504738,-71.66323867044723
2023/02/12 04:34:35.445,-67.96214436996829,-72.92466083060351
2023/02/12 04:34:35.579,-67.9276433724843,-49.478908547319655
2023/02/12 04:34:35.704,-35.176963090701435,-56.09789361448013
2023/02/12 04:34:35.842,-25.67858863457136,-56.5426422905132
2023/02/12 04:34:35.970,-30.89406403538977,-62.638961103764444
2023/02/12 04:34:36.095,-37.77036700413745,-59.93754302352835
2023/02/12 04:34:36.234,-29.940597632414303,-60.40176350439343
2023/02/12 04:34:36.362,-36.16304915313047,-69.50105786872808
2023/02/12 04:34:36.490,-34.059654095843456,-69.94657476360105
2023/02/12 04:34:36.625,-37.02536634158355,-78.06154979009219
2023/02/12 04:34:36.751,-50.850749690795986,-71.51252774664522
2023/02/12 04:34:36.890,-51.328973561546164,-55.47820840092576
2023/02/12 04:34:37.015,-31.49413528059505,-57.65718891485644
2023/02/12 04:34:37.142,-37.824650654214565,-57.65718891485644
2023/02/12 04:34:37.281,-35.56207637263191,-79.26677198453648
2023/02/12 04:34:37.416,-43.78392674042609,-75.37419700060437
2023/02/12 04:34:37.582,-67.21524470434821,-80.3169492502245
2023/02/12 04:34:37.718,-67.66166867376567,-79.94721980971322
2023/02/12 04:34:37.844,-67.97098911727818,-64.27505439959737
2023/02/12 04:34:37.970,-47.213607141923134,-56.10821857152219
2023/02/12 04:34:38.096,-29.193425418842303,-53.752717677089386
2023/02/12 04:34:38.233,-29.5261118356687,-66.4160835613344
2023/02/12 04:34:38.358,-40.34577572900354,-59.73180543630035
2023/02/12 04:34:38.484,-31.15847713267925,-52.428258632376384
2023/02/12 04:34:38.610,-28.850395006766554,-51.993738733231005
2023/02/12 04:34:38.755,-16.570308984108642,-46.12375168528905
2023/02/12 04:34:38.883,-26.497536463233065,-62.24977759725212
2023/02/12 04:34:39.017,-34.086470918653205,-51.005596296994575
2023/02/12 04:34:39.143,-32.52084874358972,-59.691621250544806
2023/02/12 04:34:39.272,-31.993392450749006,-72.44134389555738
2023/02/12 04:34:39.408,-36.72062653357245,-65.15276782754162
2023/02/12 04:34:39.557,-51.27114520761153,-77.24259058927255
2023/02/12 04:34:39.691,-36.74642505963264,-65.17553036285453
2023/02/12 04:34:39.827,-34.58094515256736,-62.46786530556233
2023/02/12 04:34:39.953,-32.5154412217964,-66.17134503133337
2023/02/12 04:34:40.087,-37.804472260549254,-79.87482073302239
2023/02/12 04:34:40.221,-67.91053085160826,-76.06674047253709
2023/02/12 04:34:40.353,-67.9643408225187,-72.2990549834575
2023/02/12 04:34:40.487,-67.94750533484827,-60.05887392490336
2023/02/12 04:34:40.624,-44.922284601834725,-39.65666078211653
2023/02/12 04:34:40.771,-27.87081889145192,-49.40384930972539
2023/02/12 04:34:40.908,-26.753602397506256,-50.28570988413185
2023/02/12 04:34:41.060,-30.422490363643632,-58.85787106167888
2023/02/12 04:34:41.196,-22.9437144884853,-70.57649073420225
2023/02/12 04:34:41.322,-35.87872820079174,-54.1876856618676
2023/02/12 04:34:41.458,-32.49369223556251,-71.22254257267385
2023/02/12 04:34:41.598,-43.09980046934679,-70.76082173081548
2023/02/12 04:34:41.734,-49.49817989955505,-65.44418050933659
2023/02/12 04:34:41.874,-36.30746498214693,-68.56388809552027
2023/02/12 04:34:42.000,-35.35827418783844,-61.799020397727915
2023/02/12 04:34:42.130,-34.55322106458788,-74.42682280321992
2023/02/12 04:34:42.265,-44.27154510540553,-67.10251975882048
2023/02/12 04:34:42.396,-54.83901957406096,-57.476550697472305
2023/02/12 04:34:42.532,-30.19522959213813,-51.165087885070115
2023/02/12 04:34:42.661,-47.946184835361514,-50.12202492809565
2023/02/12 04:34:42.797,-41.080664080197174,-44.8390482676082
2023/02/12 04:34:42.923,-31.55075004190834,-52.27088763618207
2023/02/12 04:34:43.049,-37.493360656645216,-51.91179486350578
2023/02/12 04:34:43.174,-52.697596017766266,-44.010315163266
2023/02/12 04:34:43.311,-67.89735310203926,-44.010315163266
2023/02/12 04:34:43.438,-34.581891300579954,-44.59434667107221
2023/02/12 04:34:43.572,-31.81603408969204,-41.671899477328566
2023/02/12 04:34:43.704,-33.89073237207543,-41.671899477328566
2023/02/12 04:34:43.832,-29.317013760330738,-42.801100742761065
2023/02/12 04:34:43.969,-35.68096251494093,-48.566076359718274
2023/02/12 04:34:44.096,-67.97233741934244,-48.566076359718274
2023/02/12 04:34:44.234,-67.94775288881912,-51.82008791578088
2023/02/12 04:34:44.362,-67.95885948630487,-50.35599390198784
2023/02/12 04:34:44.501,-39.908787263742454,-46.92960924548741
2023/02/12 04:34:44.628,-24.57475064604563,-46.92960924548741
2023/02/12 04:34:44.765,-25.114495544396313,-37.85555788808699
2023/02/12 04:34:44.895,-29.324806370406392,-35.46855003411125
2023/02/12 04:34:45.033,-30.349762945267816,-65.3146129028919
2023/02/12 04:34:45.161,-30.909494144438263,-71.63735884571379
2023/02/12 04:34:45.309,-33.80906922626542,-66.32654869976389
2023/02/12 04:34:45.446,-35.40745188682918,-69.68759608566027
