時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:30:47.751,-32.52561168866665,-32.05746314013881
2023/02/12 04:30:47.877,-32.06912328095512,-42.11486487993329
2023/02/12 04:30:48.003,-31.633244113487265,-47.01063231578058
2023/02/12 04:30:48.145,-44.23011663105782,-38.19385145494336
2023/02/12 04:30:48.280,-44.56965128993619,-55.056990796699196
2023/02/12 04:30:48.405,-56.33199468047509,-53.615467856628214
2023/02/12 04:30:48.566,-49.28673034835831,-39.982114157037465
2023/02/12 04:30:48.703,-34.66549807571945,-61.33081016171716
2023/02/12 04:30:48.828,-36.11526214318497,-66.59152313142403
2023/02/12 04:30:48.954,-62.09766080927277,-76.27840329067995
2023/02/12 04:30:49.079,-68.13130552844245,-73.36100316763827
2023/02/12 04:30:49.218,-67.93565820085416,-29.8439687794636
2023/02/12 04:30:49.345,-67.91057302216082,-26.37178502962216
2023/02/12 04:30:49.484,-34.363514297241075,-38.800536411883016
2023/02/12 04:30:49.633,-28.91846273912642,-23.401265746659593
2023/02/12 04:30:49.765,-37.51114716509446,-38.48916310457486
2023/02/12 04:30:49.898,-31.169187764012086,-35.04856708204939
2023/02/12 04:30:50.033,-41.73243848881462,-38.38486517227684
2023/02/12 04:30:50.171,-37.52449831615248,-49.53389339542697
2023/02/12 04:30:50.300,-49.051529050223294,-49.08062196327932
2023/02/12 04:30:50.438,-55.61493969643641,-39.35057951795422
2023/02/12 04:30:50.563,-48.437739258933796,-39.35057951795422
2023/02/12 04:30:50.702,-36.76132535288286,-44.310300753109395
2023/02/12 04:30:50.835,-44.575290175979575,-63.08199744142258
2023/02/12 04:30:50.970,-46.547344978242144,-36.372505680160025
2023/02/12 04:30:51.096,-67.82419118443201,-52.74044604487113
2023/02/12 04:30:51.234,-37.99819391568286,-42.1785290037153
2023/02/12 04:30:51.372,-52.196017462559965,-48.81667907458092
2023/02/12 04:30:51.511,-48.02441691974474,-41.44908835242799
2023/02/12 04:30:51.642,-41.90586300337168,-52.01130824776886
2023/02/12 04:30:51.781,-51.413224572312004,-77.98894352581881
2023/02/12 04:30:51.907,-67.97393921535279,-51.98638339846987
2023/02/12 04:30:52.047,-58.55784757048887,-34.7836704693348
2023/02/12 04:30:52.177,-33.26609423285311,-27.886389005609836
2023/02/12 04:30:52.315,-30.564740087554,-33.679315924969124
2023/02/12 04:30:52.442,-38.04844608885786,-33.21863467113235
2023/02/12 04:30:52.578,-38.83815405076361,-73.93949908709897
2023/02/12 04:30:52.717,-32.522146431192816,-77.32540532435627
2023/02/12 04:30:52.847,-66.39291390658757,-81.36823903651306
2023/02/12 04:30:52.984,-67.95070051101678,-48.238524046208504
2023/02/12 04:30:53.114,-67.95764767023829,-31.78201390831218
2023/02/12 04:30:53.243,-50.985501579354,-29.21624247879185
2023/02/12 04:30:53.380,-34.258053578100686,-38.57878898128145
2023/02/12 04:30:53.518,-31.944229480136176,-52.809034342818734
2023/02/12 04:30:53.647,-43.17406658402672,-46.71651765486875
2023/02/12 04:30:53.781,-34.39304276052595,-51.5850571368519
2023/02/12 04:30:53.907,-39.524037709514054,-48.25712891554021
2023/02/12 04:30:54.047,-45.532019456682214,-52.80759636395395
2023/02/12 04:30:54.174,-42.97811363977139,-43.22251044743031
2023/02/12 04:30:54.312,-33.51042396269181,-51.792144296347274
2023/02/12 04:30:54.439,-43.49161532383833,-42.22150647316448
2023/02/12 04:30:54.567,-36.5082146202342,-48.65410505298633
2023/02/12 04:30:54.705,-36.86005363552829,-44.217244405388165
2023/02/12 04:30:54.832,-29.208542732375648,-44.930455764937804
2023/02/12 04:30:54.969,-40.368811121785136,-49.92783812617017
2023/02/12 04:30:55.101,-51.48025080884352,-76.69514330914853
2023/02/12 04:30:55.235,-55.675287856892126,-80.78219396328973
2023/02/12 04:30:55.376,-67.96756366695881,-53.40304847396727
2023/02/12 04:30:55.502,-67.92516535061706,-33.802199677299704
2023/02/12 04:30:55.637,-62.4126221176916,-31.919124853391565
2023/02/12 04:30:55.764,-50.51704520728328,-30.288363891682213
2023/02/12 04:30:55.890,-26.334042073513906,-40.181752798395756
2023/02/12 04:30:56.020,-37.783212157661616,-40.624284467947646
2023/02/12 04:30:56.151,-41.22489284492039,-50.72952896614052
2023/02/12 04:30:56.283,-64.46896409801037,-37.56919202929237
2023/02/12 04:30:56.421,-40.2400228893024,-40.07154533430622
2023/02/12 04:30:56.553,-36.90322130741124,-37.04191285292404
2023/02/12 04:30:56.690,-36.24960884822698,-28.055410949702576
2023/02/12 04:30:56.829,-27.75897675431352,-39.859101538259864
2023/02/12 04:30:56.956,-36.510535073811575,-46.45799399842443
2023/02/12 04:30:57.082,-44.675481401303855,-28.320291972498044
2023/02/12 04:30:57.218,-38.46135404268058,-38.83510889675846
2023/02/12 04:30:57.352,-32.62782199673226,-42.51766843653775
2023/02/12 04:30:57.489,-41.10974229084603,-45.29766537101946
2023/02/12 04:30:57.632,-44.15973102489133,-74.35599202471712
2023/02/12 04:30:57.765,-44.157497345507196,-80.26744708200873
2023/02/12 04:30:57.891,-67.94802247156164,-67.89110950454418
2023/02/12 04:30:58.016,-67.94802247156164,-38.96012120633637
2023/02/12 04:30:58.152,-41.04411461089115,-34.94354797628264
2023/02/12 04:30:58.289,-32.58498135020814,-35.741832943188186
2023/02/12 04:30:58.422,-30.636362826092437,-31.792751272674295
2023/02/12 04:30:58.547,-43.32938711882661,-35.74221190021422
2023/02/12 04:30:58.674,-28.841890652067043,-32.89678571076602
2023/02/12 04:30:58.813,-32.27264787102457,-51.42527296956392
2023/02/12 04:30:58.939,-43.62717060806692,-36.40731261885954
2023/02/12 04:30:59.068,-38.67212415714129,-29.836908312636957
2023/02/12 04:30:59.202,-25.436484482524282,-36.22851742282803
2023/02/12 04:30:59.334,-40.38444150853847,-35.38546467732062
2023/02/12 04:30:59.468,-36.03777649709225,-42.692680119976515
2023/02/12 04:30:59.594,-34.34053299590068,-35.39361440715616
2023/02/12 04:30:59.718,-38.53110460107815,-43.55444125984838
2023/02/12 04:30:59.846,-42.98774852824735,-43.195962799481
2023/02/12 04:30:59.976,-51.418884598747326,-36.50209092790423
2023/02/12 04:31:00.109,-29.572907377529937,-37.80027714466702
2023/02/12 04:31:00.235,-44.437800002390816,-70.01253813954234
2023/02/12 04:31:00.365,-47.280179267964186,-56.13837819697785
2023/02/12 04:31:00.504,-60.51233708395485,-59.45016512240436
2023/02/12 04:31:00.640,-54.00066110021221,-45.16889831343836
