No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.45957017115602,-46.280750667153775,-39.338196825654464,-17.738546224058027
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-80.7413796308536,-82.52657215819005,-46.627402197440155
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-79.44770107169086,-82.70115240646842,-45.63804266334648
