時刻,マイク (USB PnP Sound Device),マイク配列 (Realtek High Definition Audio(SST))
2023/02/12 06:44:24.191,-36.45756709273998,-11.645968409062206
2023/02/12 06:44:24.331,-35.918756393762926,-25.512853783668234
2023/02/12 06:44:24.485,-35.8568177418279,-17.65928702667653
2023/02/12 06:44:24.611,-36.11625336059147,-31.737108921920463
2023/02/12 06:44:24.737,-36.003322759212224,-31.32696488836205
2023/02/12 06:44:24.877,-35.79890009317993,-38.65112303523622
2023/02/12 06:44:25.004,-35.9039762167994,-39.22210057428609
2023/02/12 06:44:25.145,-36.01676079111161,-44.61116058159788
2023/02/12 06:44:25.285,-35.86055941513183,-25.080320525867663
2023/02/12 06:44:25.439,-35.97039854920661,-44.548110046348924
2023/02/12 06:44:25.565,-36.18406558888238,-48.613309679523525
2023/02/12 06:44:25.705,-35.5921319493074,-55.557287353030915
2023/02/12 06:44:25.843,-35.96227964123248,-51.24881888455419
2023/02/12 06:44:25.984,-36.06833643413241,-21.900513157637754
2023/02/12 06:44:26.109,-36.09229768187611,-12.881608269564452
2023/02/12 06:44:26.252,-35.72319998698819,-22.5586590581687
2023/02/12 06:44:26.391,-36.14997025044323,-15.485619177168598
2023/02/12 06:44:26.530,-35.859687926262325,-30.74355361070551
2023/02/12 06:44:26.655,-35.99902859695503,-30.74355361070551
2023/02/12 06:44:26.782,-36.04053497614117,-30.904697002156787
2023/02/12 06:44:26.909,-35.761911467463364,-30.904697002156787
2023/02/12 06:44:27.051,-36.15726149368,-49.75071377025869
2023/02/12 06:44:27.179,-36.15726149368,-33.531561408138494
2023/02/12 06:44:27.303,-35.78923623203603,-49.973123920601
2023/02/12 06:44:27.442,-35.86596634670221,-40.38989758586334
2023/02/12 06:44:27.581,-35.82096692041119,-53.725684612221414
2023/02/12 06:44:27.736,-36.01828288138734,-43.1667535774418
2023/02/12 06:44:27.875,-35.77170746823662,-41.82754946733667
2023/02/12 06:44:28.015,-36.02140569959608,-46.47120103438374
2023/02/12 06:44:28.154,-35.99579590039755,-45.312640672384205
2023/02/12 06:44:28.294,-35.86428510282094,-45.06922696451821
2023/02/12 06:44:28.434,-36.01430426191664,-59.02682562328671
2023/02/12 06:44:28.559,-35.92000305215049,-53.63967961208512
2023/02/12 06:44:28.685,-35.83933145954971,-21.020163953233176
2023/02/12 06:44:28.809,-35.823330835009706,-14.57567788496191
2023/02/12 06:44:28.950,-36.057004191543655,-23.01460869909556
2023/02/12 06:44:29.091,-36.15564802049002,-24.074507516733238
2023/02/12 06:44:29.230,-35.78760380971821,-15.833995975373421
2023/02/12 06:44:29.356,-35.92496534968609,-36.23720653687679
2023/02/12 06:44:29.495,-35.9710573370441,-40.99757193246651
2023/02/12 06:44:29.634,-35.67397847952316,-48.42862587546865
2023/02/12 06:44:29.759,-35.641028641063,-40.873362630155285
2023/02/12 06:44:29.899,-36.034818662359946,-28.629201247410805
2023/02/12 06:44:30.039,-36.097459588667604,-21.88449283197275
2023/02/12 06:44:30.178,-35.67493729159596,-27.74323705658003
2023/02/12 06:44:30.303,-35.95407107200668,-14.454278248314461
2023/02/12 06:44:30.443,-35.95332750765799,-27.309854829219205
2023/02/12 06:44:30.583,-36.36381980856736,-33.91420191925475
2023/02/12 06:44:30.708,-35.95922952616228,-25.482446216565748
