No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-73.53414141889962,-47.369921501816115,-43.162774001260914,-18.649890303485318
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-82.07435852549237,-82.97029978746534,-71.19612452204562
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-80.75236831896214,-82.76819231786847,-67.99266610458365
