No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.59668139254107,-72.23556864067152,-76.0195187679758,-49.86097391434456
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-83.75341636433477,-77.13168473272667,-77.58250675062513,-64.30838033047922
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-73.97316392793043,-75.06985353733666,-47.79120086072468
