No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.71629641521446,-76.40758880223004,-76.4192659155848,-76.03092634718693
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-80.64650847745128,-81.37555410874072,-69.29825037574301
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-74.46753745053367,-77.55932350649103,-39.52636137876677
