No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-73.58540207250903,-48.56037671825178,-44.58906989020253,-29.681940096631386
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-77.77681914653884,-80.80497759857963,-53.78611896442208
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-75.08876068277954,-76.97763558212507,-51.98991508305676
