時刻,マイク配列 (Realtek High Definition Audio(SST)),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 06:14:17.705,-29.990261294307338,-46.95827244656306
2023/02/12 06:14:17.830,-23.296168742836684,-60.935153558700364
2023/02/12 06:14:17.963,-29.612491188216854,-63.56341291208934
2023/02/12 06:14:18.097,-44.690416078006024,-75.69957618658492
2023/02/12 06:14:18.226,-48.18584259448642,-71.06638742832945
2023/02/12 06:14:18.363,-53.46792629805436,-74.52506444705315
2023/02/12 06:14:18.490,-52.30206090641731,-75.27530359451765
2023/02/12 06:14:18.628,-53.75825491873809,-63.92467000998402
2023/02/12 06:14:18.766,-15.696474538274671,-51.064607840356274
2023/02/12 06:14:18.897,-17.05677276539873,-50.492193584220296
2023/02/12 06:14:19.033,-23.071985556909034,-54.499373474311156
2023/02/12 06:14:19.159,-49.212464277769755,-61.31668541305047
2023/02/12 06:14:19.284,-31.542529802741658,-56.8513714706702
2023/02/12 06:14:19.424,-12.951437050223609,-48.47706547959074
2023/02/12 06:14:19.549,-23.523535115031912,-49.13119677803288
2023/02/12 06:14:19.674,-27.636721654604813,-66.42498854572547
2023/02/12 06:14:19.801,-12.745938495362319,-38.88484055340417
2023/02/12 06:14:19.926,-29.799874807652667,-55.81966752950618
2023/02/12 06:14:20.064,-26.04297041820365,-61.89824223695724
2023/02/12 06:14:20.190,-42.13027663201352,-65.42499477549515
2023/02/12 06:14:20.318,-41.587698005731475,-61.967089636699086
2023/02/12 06:14:20.455,-54.05531249706087,-76.50851337992209
2023/02/12 06:14:20.584,-43.076811224519844,-54.45445129373227
2023/02/12 06:14:20.710,-27.3033603048585,-52.11749576073196
2023/02/12 06:14:20.838,-50.39156173257439,-55.90827047178104
2023/02/12 06:14:20.964,-53.16992259230027,-80.9456108218246
2023/02/12 06:14:21.097,-52.39098977017902,-80.81028421746929
2023/02/12 06:14:21.236,-53.785111962947376,-76.88977318480936
2023/02/12 06:14:21.363,-18.613107580498482,-46.864987209371904
2023/02/12 06:14:21.503,-9.948177106042037,-38.84445817362044
2023/02/12 06:14:21.631,-25.951570959471745,-44.22078542042066
2023/02/12 06:14:21.769,-17.313734349941175,-52.228403044021626
2023/02/12 06:14:21.910,-30.739553220177637,-52.97006026858018
