No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.77506770844278,-76.38261055053242,-76.39241427097679,-76.05776248642727
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-78.88458555216195,-80.00783125520005,-59.59422134474285
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-79.13596514116429,-82.92511802527005,-57.24515612896377
