No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.45057724702484,-75.01671933944226,-76.37225700992416,-47.70199673098405
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-83.28468911587963,-84,-63.91698585340036
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-82.59643746266508,-83.47851617386313,-71.02896415263754
