No,Name,Min,Avg,Median,Max
1,CABLE Output (VB-Audio Virtual Cable),-76.62692991376477,-76.44612407618101,-76.45892736496106,-76.32637275489238
2,ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),-84,-82.19817860634481,-83.40909906882928,-63.14404361436168
3,マイク配列 (Realtek High Definition Audio(SST)),-84,-80.75693488096941,-82.8411273752058,-60.01349654277451
