時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:33:12.499,-40.41817322656122,-70.61126176782071
2023/02/12 04:33:12.635,-48.76300938214712,-74.62539062202643
2023/02/12 04:33:12.761,-57.68082740082771,-79.52476378603332
2023/02/12 04:33:12.891,-43.88223273078266,-79.2424192360875
2023/02/12 04:33:13.020,-55.079178539433904,-67.06681255000797
2023/02/12 04:33:13.160,-35.30932386004152,-47.20636127035966
2023/02/12 04:33:13.299,-36.5223906258505,-67.84067193263877
2023/02/12 04:33:13.426,-64.68304676599922,-55.23649883051228
2023/02/12 04:33:13.551,-67.94296138739868,-57.71439087383992
2023/02/12 04:33:13.687,-67.94994943969259,-71.43129232974736
2023/02/12 04:33:13.818,-40.88593461589621,-68.73076262919466
2023/02/12 04:33:13.952,-24.974889929697465,-68.54274676831862
2023/02/12 04:33:14.078,-28.62873757361521,-72.90974706141938
2023/02/12 04:33:14.205,-24.917846377407805,-76.34370215346569
2023/02/12 04:33:14.332,-31.284386142320525,-72.69360936607875
2023/02/12 04:33:14.468,-27.928016090777756,-74.8981028486314
2023/02/12 04:33:14.598,-43.14162875728947,-74.88026737081077
2023/02/12 04:33:14.734,-55.594535771965056,-56.76383594310167
2023/02/12 04:33:14.859,-41.80058999712258,-67.42183112443446
2023/02/12 04:33:15.001,-46.457778897096,-64.91138540129488
2023/02/12 04:33:15.131,-39.05374649840478,-77.60144091664343
2023/02/12 04:33:15.265,-64.50298250181802,-69.62208176522427
2023/02/12 04:33:15.402,-29.70816175778964,-78.24081544703135
2023/02/12 04:33:15.534,-46.01674899113174,-77.50521198631937
2023/02/12 04:33:15.666,-43.926448611264846,-77.55122083011005
2023/02/12 04:33:15.798,-39.54476064883797,-59.491926760535414
2023/02/12 04:33:15.941,-46.90313580516056,-51.34774184557865
2023/02/12 04:33:16.067,-60.225156955021234,-58.397561583219726
2023/02/12 04:33:16.209,-67.92406578334395,-57.60185183563707
2023/02/12 04:33:16.347,-33.3735965605329,-54.48281039378035
2023/02/12 04:33:16.485,-35.51991149109722,-76.3305320755897
2023/02/12 04:33:16.610,-31.518247880516817,-79.61634290434463
2023/02/12 04:33:16.749,-32.8288823693415,-68.51181871629828
2023/02/12 04:33:16.883,-67.9776251525862,-57.412583448315715
2023/02/12 04:33:17.017,-67.89222198861495,-55.22930257952239
2023/02/12 04:33:17.153,-67.95247232683164,-60.735660859738836
2023/02/12 04:33:17.280,-36.151570140870085,-63.820775718822176
2023/02/12 04:33:17.416,-22.00241245206234,-67.56870199499471
2023/02/12 04:33:17.555,-36.15549510816714,-60.373576247962546
2023/02/12 04:33:17.687,-45.66433281890555,-61.923063283632644
2023/02/12 04:33:17.813,-31.458591767095125,-66.5520910849032
2023/02/12 04:33:17.949,-42.760842516343686,-59.252893103821506
2023/02/12 04:33:18.080,-43.5564703258587,-66.23585245056904
2023/02/12 04:33:18.218,-25.02469909465686,-57.828518081938554
2023/02/12 04:33:18.344,-34.922051584901176,-58.38585073015939
2023/02/12 04:33:18.481,-36.86566657938061,-59.263733916366846
2023/02/12 04:33:18.615,-41.81886015395288,-65.37612947996674
2023/02/12 04:33:18.755,-35.96289589904197,-76.3827755551844
2023/02/12 04:33:18.882,-50.01003406112559,-68.80233663077382
2023/02/12 04:33:19.015,-49.992008913662154,-80.70922567387619
2023/02/12 04:33:19.150,-67.89071124958109,-60.418906107913735
2023/02/12 04:33:19.282,-67.93831626291498,-53.98926654656922
2023/02/12 04:33:19.407,-45.32431923471472,-51.996684044403736
2023/02/12 04:33:19.535,-35.70773018149397,-54.68498407632318
2023/02/12 04:33:19.673,-28.604715415708117,-60.23629899566241
2023/02/12 04:33:19.798,-29.36487537691713,-58.61871534914543
2023/02/12 04:33:19.937,-39.7547015511941,-74.10781412492283
2023/02/12 04:33:20.063,-31.495535595138882,-66.39495219065014
2023/02/12 04:33:20.189,-55.195124100534805,-66.84364778323406
2023/02/12 04:33:20.328,-37.443860900052975,-56.339541363011094
2023/02/12 04:33:20.470,-32.11755269692735,-54.73631094842788
2023/02/12 04:33:20.608,-23.849588845610207,-60.61592895487588
